p,a1,a2,N1,N2,b1,b2,c1_id,c2_id,least_m_id,least_m_flip,shape4_id,shape5_id,shape4_flip,shape5_flip,fact22_id,fact23_id,fact33_id,fact22_flip,fact23_flip,fact33_flip,Jmax_conn_id,Jmax_conn_flip
7,-1,1,7,51,-0.377964,0.142857,-1.564794,1.186829,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,False,False,,0.9401
7,-1,2,7,53,-0.377964,0.285714,-1.511858,1.133893,,0,nonpositive,nonpositive,realized,realized,False,False,False,False,False,False,,0.5621
7,-1,3,7,55,-0.377964,0.428571,-1.456714,1.078749,1,0,nonpositive,realized,realized,realized,False,False,False,False,False,False,1.3493,0.8193
7,-1,4,7,57,-0.377964,0.571429,-1.399059,1.021095,1,0,nonpositive,realized,realized,realized,False,False,False,False,False,False,0.9142,0.537
7,-1,5,7,59,-0.377964,0.714286,-1.338516,0.960552,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,0.7036,0.6966
7,-1,6,7,61,-0.377964,0.857143,-1.274603,0.896638,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,0.4144,0.7494
7,-1,7,7,63,-0.377964,1.0,-1.206683,0.828718,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,0.9108,0.2562
7,-1,8,7,65,-0.377964,1.142857,-1.133893,0.755929,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,0.9012,0.3234
7,-1,9,7,67,-0.377964,1.285714,-1.055008,0.677043,1,0,nonpositive,realized,realized,realized,False,False,False,False,True,True,0.917,0.4499
7,-1,10,7,69,-0.377964,1.428571,-0.968176,0.590211,1,0,nonpositive,realized,realized,realized,False,True,True,False,True,True,1.0494,0.5856
7,-1,11,7,71,-0.377964,1.571429,-0.870367,0.492403,1,0,nonpositive,realized,realized,realized,False,True,True,False,True,True,0.9015,0.662
7,-1,12,7,73,-0.377964,1.714286,-0.755929,0.377964,1,0,nonpositive,realized,realized,realized,False,True,True,False,True,True,1.0641,0.6143
7,-1,13,7,75,-0.377964,1.857143,-0.611559,0.233595,1,0,nonpositive,realized,realized,realized,False,True,True,False,True,True,2.1502,0.9593
7,0,-14,8,22,0.0,-2.0,-2.0,2.0,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-11,8,28,0.0,-1.571429,-1.889822,1.889822,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-10,8,30,0.0,-1.428571,-1.85164,1.85164,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-9,8,32,0.0,-1.285714,-1.812654,1.812654,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-8,8,34,0.0,-1.142857,-1.772811,1.772811,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-6,8,38,0.0,-0.857143,-1.690309,1.690309,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-5,8,40,0.0,-0.714286,-1.647509,1.647509,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-4,8,42,0.0,-0.571429,-1.603567,1.603567,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-3,8,44,0.0,-0.428571,-1.558387,1.558387,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-2,8,46,0.0,-0.285714,-1.511858,1.511858,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,-1,8,48,0.0,-0.142857,-1.46385,1.46385,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,0,8,50,0.0,0.0,-1.414214,1.414214,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,0,1,8,52,0.0,0.142857,-1.36277,1.36277,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,2.1906,2.1906
7,0,2,8,54,0.0,0.285714,-1.309307,1.309307,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,1.2121,1.2121
7,0,3,8,56,0.0,0.428571,-1.253566,1.253566,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,0.8937,0.8937
7,0,4,8,58,0.0,0.571429,-1.195229,1.195229,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,0.8066,0.8066
7,0,5,8,60,0.0,0.714286,-1.133893,1.133893,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,0.5552,0.5552
7,0,6,8,62,0.0,0.857143,-1.069045,1.069045,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,0.2947,0.2947
7,0,7,8,64,0.0,1.0,-1.0,1.0,1,1,nonpositive,realized,nonpositive,realized,False,False,False,False,False,False,0.4538,0.4538
7,0,8,8,66,0.0,1.142857,-0.92582,0.92582,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,0.5185,0.5185
7,0,9,8,68,0.0,1.285714,-0.845154,0.845154,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,0.6654,0.6654
7,0,10,8,70,0.0,1.428571,-0.755929,0.755929,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,0.881,0.881
7,0,11,8,72,0.0,1.571429,-0.654654,0.654654,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,0.9249,0.9249
7,0,12,8,74,0.0,1.714286,-0.534522,0.534522,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,1.0719,1.2416
7,0,13,8,76,0.0,1.857143,-0.377964,0.377964,1,1,nonpositive,realized,nonpositive,realized,False,True,True,False,True,True,1.5278,1.2607
7,0,14,8,78,0.0,2.0,-0.0,0.0,2,2,nonpositive,notfound,nonpositive,notfound,False,False,True,False,False,True,,
7,1,-8,9,33,0.377964,-1.142857,-1.593873,1.971837,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,-7,9,35,0.377964,-1.0,-1.553348,1.931312,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,-6,9,37,0.377964,-0.857143,-1.511858,1.889822,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,-5,9,39,0.377964,-0.714286,-1.46933,1.847295,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,-4,9,41,0.377964,-0.571429,-1.425683,1.803647,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,-3,9,43,0.377964,-0.428571,-1.380822,1.758787,,,nonpositive,nonpositive,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,-2,9,45,0.377964,-0.285714,-1.334641,1.712606,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,-1,9,47,0.377964,-0.142857,-1.287016,1.664981,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,0,9,49,0.377964,0.0,-1.237802,1.615767,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
7,1,1,9,51,0.377964,0.142857,-1.186829,1.564794,0,,realized,realized,nonpositive,nonpositive,False,False,False,False,False,False,0.9401,
7,1,2,9,53,0.377964,0.285714,-1.133893,1.511858,0,,realized,realized,nonpositive,nonpositive,False,False,False,False,False,False,0.5621,
7,1,3,9,55,0.377964,0.428571,-1.078749,1.456714,0,1,realized,realized,nonpositive,realized,False,False,False,False,False,False,0.8193,1.3493
7,1,4,9,57,0.377964,0.571429,-1.021095,1.399059,0,1,realized,realized,nonpositive,realized,False,False,False,False,False,False,0.537,0.9142
7,1,5,9,59,0.377964,0.714286,-0.960552,1.338516,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.6966,0.7036
7,1,6,9,61,0.377964,0.857143,-0.896638,1.274603,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,1.0279,1.2885
7,1,7,9,63,0.377964,1.0,-0.828718,1.206683,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.2562,0.9108
