# exact-arithmetic replay of Gomila's printed per-prism gate (BARRIER_CERTIFICATE.md eq. (1)), outward-rounded; source log sha256 2d010f70...05f4 @ a74738d
  22 | seam 0.000760231536 | Delta+ 3.663075e-05 | M- 4.238373 | Dz 9286 Dt 51010 mesh 37140 | spatial 0.500054 (replay 0.500054) | time 1.868534 (replay 1.868534) | gate margin +1.868534 (printed 1.868534) | C-B12 floor 3.738319 ok | cont ok | wind ok | PASS
  23 | seam 0.000796862282 | Delta+ 3.667025e-05 | M- 4.236462 | Dz 9272 Dt 50929 mesh 37084 | spatial 0.500054 (replay 0.500054) | time 1.867579 (replay 1.867579) | gate margin +1.867579 (printed 1.867579) | C-B12 floor 3.736408 ok | cont ok | wind ok | PASS
  24 | seam 0.000833532533 | Delta+ 3.670988e-05 | M- 4.234552 | Dz 9257 Dt 50848 mesh 37024 | spatial 0.500054 (replay 0.500054) | time 1.866624 (replay 1.866624) | gate margin +1.866624 (printed 1.866624) | C-B12 floor 3.734498 ok | cont ok | wind ok | PASS
  25 | seam 0.000870242411 | Delta+ 3.674963e-05 | M- 4.232641 | Dz 9242 Dt 50767 mesh 36964 | spatial 0.500054 (replay 0.500054) | time 1.865668 (replay 1.865668) | gate margin +1.865668 (printed 1.865668) | C-B12 floor 3.732586 ok | cont ok | wind ok | PASS
  26 | seam 0.000906992036 | Delta+ 3.678949e-05 | M- 4.230729 | Dz 9227 Dt 50686 mesh 36904 | spatial 0.500054 (replay 0.500054) | time 1.864712 (replay 1.864712) | gate margin +1.864712 (printed 1.864712) | C-B12 floor 3.730675 ok | cont ok | wind ok | PASS
  27 | seam 0.000943781531 | Delta+ 3.682949e-05 | M- 4.228817 | Dz 9212 Dt 50605 mesh 36844 | spatial 0.500054 (replay 0.500054) | time 1.863756 (replay 1.863756) | gate margin +1.863756 (printed 1.863756) | C-B12 floor 3.728762 ok | cont ok | wind ok | PASS
  28 | seam 0.000980611016 | Delta+ 3.686960e-05 | M- 4.226904 | Dz 9198 Dt 50524 mesh 36788 | spatial 0.500054 (replay 0.500054) | time 1.862800 (replay 1.862800) | gate margin +1.862800 (printed 1.862800) | C-B12 floor 3.726849 ok | cont ok | wind ok | PASS
  29 | seam 0.001017480616 | Delta+ 3.690984e-05 | M- 4.224990 | Dz 9183 Dt 50443 mesh 36728 | spatial 0.500054 (replay 0.500054) | time 1.861843 (replay 1.861843) | gate margin +1.861843 (printed 1.861843) | C-B12 floor 3.724936 ok | cont ok | wind ok | PASS
  30 | seam 0.001054390454 | Delta+ 3.695020e-05 | M- 4.223076 | Dz 9168 Dt 50362 mesh 36668 | spatial 0.500055 (replay 0.500055) | time 1.860886 (replay 1.860886) | gate margin +1.860886 (printed 1.860886) | C-B12 floor 3.723022 ok | cont ok | wind ok | PASS
  31 | seam 0.001091340653 | Delta+ 3.699069e-05 | M- 4.221162 | Dz 9153 Dt 50281 mesh 36608 | spatial 0.500055 (replay 0.500055) | time 1.859929 (replay 1.859929) | gate margin +1.859929 (printed 1.859929) | C-B12 floor 3.721107 ok | cont ok | wind ok | PASS
  32 | seam 0.001128331338 | Delta+ 3.703130e-05 | M- 4.219247 | Dz 9138 Dt 50200 mesh 36548 | spatial 0.500055 (replay 0.500055) | time 1.858971 (replay 1.858971) | gate margin +1.858971 (printed 1.858971) | C-B12 floor 3.719192 ok | cont ok | wind ok | PASS
  33 | seam 0.001165362635 | Delta+ 3.707203e-05 | M- 4.217331 | Dz 9124 Dt 50119 mesh 36492 | spatial 0.500055 (replay 0.500055) | time 1.858013 (replay 1.858013) | gate margin +1.858013 (printed 1.858013) | C-B12 floor 3.717276 ok | cont ok | wind ok | PASS
  34 | seam 0.001202434668 | Delta+ 3.711290e-05 | M- 4.215415 | Dz 9109 Dt 50038 mesh 36432 | spatial 0.500055 (replay 0.500055) | time 1.857055 (replay 1.857055) | gate margin +1.857055 (printed 1.857055) | C-B12 floor 3.715360 ok | cont ok | wind ok | PASS
  35 | seam 0.001239547565 | Delta+ 3.715314e-05 | M- 4.213498 | Dz 9094 Dt 49958 mesh 36372 | spatial 0.500055 (replay 0.500055) | time 1.856097 (replay 1.856097) | gate margin +1.856097 (printed 1.856097) | C-B12 floor 3.713443 ok | cont ok | wind ok | PASS
  36 | seam 0.001276700707 | Delta+ 3.719426e-05 | M- 4.211581 | Dz 9079 Dt 49877 mesh 36312 | spatial 0.500055 (replay 0.500055) | time 1.855138 (replay 1.855138) | gate margin +1.855138 (printed 1.855138) | C-B12 floor 3.711526 ok | cont ok | wind ok | PASS
  37 | seam 0.001313894966 | Delta+ 3.723550e-05 | M- 4.209663 | Dz 9065 Dt 49796 mesh 36256 | spatial 0.500055 (replay 0.500055) | time 1.854179 (replay 1.854179) | gate margin +1.854179 (printed 1.854179) | C-B12 floor 3.709608 ok | cont ok | wind ok | PASS
  38 | seam 0.001351130469 | Delta+ 3.727613e-05 | M- 4.207745 | Dz 9050 Dt 49716 mesh 36196 | spatial 0.500055 (replay 0.500055) | time 1.853220 (replay 1.853220) | gate margin +1.853220 (printed 1.853220) | C-B12 floor 3.707690 ok | cont ok | wind ok | PASS
  39 | seam 0.001388406594 | Delta+ 3.731763e-05 | M- 4.205826 | Dz 9035 Dt 49635 mesh 36136 | spatial 0.500055 (replay 0.500055) | time 1.852260 (replay 1.852260) | gate margin +1.852260 (printed 1.852260) | C-B12 floor 3.705771 ok | cont ok | wind ok | PASS
  40 | seam 0.001425724219 | Delta+ 3.735926e-05 | M- 4.203906 | Dz 9021 Dt 49554 mesh 36080 | spatial 0.500055 (replay 0.500055) | time 1.851301 (replay 1.851301) | gate margin +1.851301 (printed 1.851301) | C-B12 floor 3.703851 ok | cont ok | wind ok | PASS
  41 | seam 0.001463083475 | Delta+ 3.740026e-05 | M- 4.201986 | Dz 9006 Dt 49474 mesh 36020 | spatial 0.500056 (replay 0.500056) | time 1.850340 (replay 1.850340) | gate margin +1.850340 (printed 1.850340) | C-B12 floor 3.701931 ok | cont ok | wind ok | PASS
  42 | seam 0.001500483734 | Delta+ 3.744139e-05 | M- 4.200066 | Dz 8991 Dt 49394 mesh 35960 | spatial 0.500056 (replay 0.500056) | time 1.849380 (replay 1.849380) | gate margin +1.849380 (printed 1.849380) | C-B12 floor 3.700010 ok | cont ok | wind ok | PASS
  43 | seam 0.001537925125 | Delta+ 3.748341e-05 | M- 4.198145 | Dz 8977 Dt 49313 mesh 35904 | spatial 0.500056 (replay 0.500056) | time 1.848419 (replay 1.848419) | gate margin +1.848419 (printed 1.848419) | C-B12 floor 3.698089 ok | cont ok | wind ok | PASS
  44 | seam 0.001575408536 | Delta+ 3.752480e-05 | M- 4.196223 | Dz 8962 Dt 49233 mesh 35844 | spatial 0.500056 (replay 0.500056) | time 1.847458 (replay 1.847458) | gate margin +1.847458 (printed 1.847458) | C-B12 floor 3.696167 ok | cont ok | wind ok | PASS
  45 | seam 0.001612933336 | Delta+ 3.756708e-05 | M- 4.194300 | Dz 8947 Dt 49152 mesh 35784 | spatial 0.500056 (replay 0.500056) | time 1.846497 (replay 1.846497) | gate margin +1.846497 (printed 1.846497) | C-B12 floor 3.694245 ok | cont ok | wind ok | PASS
  46 | seam 0.001650500419 | Delta+ 3.760873e-05 | M- 4.192377 | Dz 8932 Dt 49072 mesh 35724 | spatial 0.500056 (replay 0.500056) | time 1.845536 (replay 1.845536) | gate margin +1.845536 (printed 1.845536) | C-B12 floor 3.692322 ok | cont ok | wind ok | PASS
  47 | seam 0.001688109152 | Delta+ 3.765051e-05 | M- 4.190454 | Dz 8918 Dt 48992 mesh 35668 | spatial 0.500056 (replay 0.500056) | time 1.844574 (replay 1.844574) | gate margin +1.844574 (printed 1.844574) | C-B12 floor 3.690398 ok | cont ok | wind ok | PASS
  48 | seam 0.001725759666 | Delta+ 3.769242e-05 | M- 4.188530 | Dz 8903 Dt 48912 mesh 35608 | spatial 0.500056 (replay 0.500056) | time 1.843612 (replay 1.843612) | gate margin +1.843612 (printed 1.843612) | C-B12 floor 3.688474 ok | cont ok | wind ok | PASS
  49 | seam 0.001763452091 | Delta+ 3.773447e-05 | M- 4.186605 | Dz 8889 Dt 48832 mesh 35552 | spatial 0.500056 (replay 0.500056) | time 1.842650 (replay 1.842650) | gate margin +1.842650 (printed 1.842650) | C-B12 floor 3.686549 ok | cont ok | wind ok | PASS
  50 | seam 0.001801186558 | Delta+ 3.777664e-05 | M- 4.184680 | Dz 8874 Dt 48752 mesh 35492 | spatial 0.500056 (replay 0.500056) | time 1.841687 (replay 1.841687) | gate margin +1.841687 (printed 1.841687) | C-B12 floor 3.684624 ok | cont ok | wind ok | PASS
  51 | seam 0.001838963201 | Delta+ 3.781895e-05 | M- 4.182754 | Dz 8859 Dt 48672 mesh 35432 | spatial 0.500056 (replay 0.500056) | time 1.840724 (replay 1.840724) | gate margin +1.840724 (printed 1.840724) | C-B12 floor 3.682698 ok | cont ok | wind ok | PASS
