t,delta,L,is_record_point_C1_1,is_record_point_C1_zeta,Lstar_C1_1,Lstar_C1_zeta,L_ann,inside_hypotheses,inside_hypotheses_zeta_C1,reflection_ok,deltaL,deltaL_ge_25,n_zeros_used,U_row,U_kopt,k_opt,tail_bound_at_U_row,tail_le_1e_10,U_contract_k3,c_deltaL,main_term,N_Z,W_Zprime,W_Z,W_Zrep,near_gamma,near_term,W_Zdouble_minus_Zprime_bound_log10,clause6_bound,sep_over_clause6,W_Z_negative,bal3,clause4_bound_C1_1,clause4_over_N,clause4_asserted,density_model,N_over_model,E_minus_bound_log10,E_minus_est_log10,E_minus_over_main_bound_log10,log10_exp_minus_L,E_minus_direct,refl_online_bound_log10,refl_online_est_log10,E_minus_direct_M,E_minus_direct_dps
1000.0,0.05,4.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.2,False,459,285.59407337278884,142.79703668639442,9,2.7443876577643615e-15,True,16903.352599310965,1.0007907889709289,-0.0050079110164452725,1.374198331198026,1.374198331198026,1.3691904201815805,1.3269277036366747,999.7915715574129,0.04226271654490579,0.5787979861219014,0.0027629272951891198,1.8125381095496709,False,False,7.820679396414562,5.691084917558075,False,1.3167396871578887,1.0436370564360815,0.6656568827739865,-51.89059060024738,2.966000279306863,-1.737177927613007,4.476302957983493e-53,3.01329721715965,-47.03308987017959,4454,44
1000.0,0.05,6.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.30000000000000004,False,459,285.59407337278884,88.6450465599608,9,1.886682549166733e-18,True,7553.023252403636,1.001779896358129,-0.00501781480373652,0.3282914441626562,0.3282914441626562,0.3232736293589197,0.2824470400064743,999.7915715574129,0.04082658935244539,-1.7630618942732195,0.002904585606820708,1.7275492903199032,False,False,3.5314901761540938,10.757180057377223,False,0.39014509249122625,0.8414598837227177,-1.63277354943081,-64.45752034880132,0.6667118221277684,-2.6057668914195107,1.8435498916286252e-65,0.7408403560678242,-58.82473993141947,6270,51
1000.0,0.05,8.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.4,False,459,285.59407337278884,63.407777210988485,9,1.078681927206083e-20,True,4268.921814903285,1.0031658068972553,-0.005031708180639108,0.061212383494277475,0.061212383494277475,0.056180675313638365,0.017294718626119577,999.7915715574129,0.03888595668751879,-3.7557297103035223,0.0030535068954004253,1.647845691201319,False,False,2.014523593765751,32.910392942860675,False,0.1645924608947361,0.3719027175456439,-3.582011917270787,-75.00984587817842,-1.2837273630599153,-3.474355855226014,8.688410546051342e-77,-1.1800161444610762,-68.71712803670957,8042,56
1000.0,0.05,10.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.5,False,459,285.59407337278884,49.02129693563779,9,1.9677131826111912e-22,True,2743.916821113326,1.004949682300694,-0.00504961931978133,0.06434873925889227,0.06434873925889227,0.05929911993911094,0.022792547221978827,999.7915715574129,0.03650657271713211,-5.521949416284251,0.0032100635417193542,1.5730589921832776,False,False,1.305572395737464,20.28901281942441,False,0.08427133997810488,0.7635898429479248,-5.304802175061192,-84.28171912705267,-3.0080608138630174,-4.3429448190325175,2.8519462893812755e-85,-2.8743714119727066,-77.40550162233282,9786,61
1000.0,0.05,12.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.6000000000000001,False,459,285.59407337278884,39.80988143104963,9,7.475194078760175e-24,True,1913.0144988512056,1.0071330183655594,-0.005071584583410612,0.05071663470469265,0.05071663470469265,0.04564505012128203,0.011877771082744546,999.7915715574129,0.03376727903853749,-7.125705978953062,0.0033746470189400086,1.502848906847632,False,False,0.9169836102955272,18.08052950742573,False,0.04876813656140328,1.039954328393008,-6.865129289539675,-92.6473189026555,-4.570272962544043,-5.211533782839021,-9.963372253911105e-95,-4.4072115047944465,-85.2431500895259,11508,65
1000.0,0.05,14.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.7000000000000001,False,459,285.59407337278884,33.392506183565985,8,3.7469240694839876e-23,True,1410.590524701681,1.0097176466026059,-0.005097648629303526,0.03390029829486831,0.03390029829486831,0.028802649665564787,-0.00195356258566233,999.7915715574129,0.030756212251227117,-8.605443772973633,0.0035476688714831442,1.4369009098564474,False,False,0.6806974183345859,20.079393178603006,False,0.030711129729630058,1.1038440654353834,-8.301437635369922,-100.32798807552103,-6.008807532487163,-6.080122746645525,6.804951610865244e-102,-5.8174215289180715,-92.43863954106502,13216,69
1000.0,0.05,16.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.8,False,459,285.59407337278884,28.654344148921474,8,4.466024004758248e-24,True,1083.6336343274165,1.0127057362312821,-0.005127864540978717,0.03029270876110104,0.03029270876110104,0.025164844220122325,-0.002401818413393952,999.7915715574129,0.027566662633516276,-9.986427355239899,0.003729561744103177,1.37492415806935,False,False,0.5261232835678125,17.367984082143522,False,0.02057405761184201,1.4723740611898146,-9.638991769445862,-107.4674934203795,-7.348928313670648,-6.948711710452028,3.171470929421107e-109,-7.130445126334085,-99.12723776956189,14910,72
1000.0,0.05,18.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,0.9,False,459,285.59407337278884,25.072971073552026,8,6.8435717208233315e-25,True,858.9141812405617,1.0160997965434215,-0.005162293982677914,0.026453300994154997,0.026453300994154997,0.021291007011477084,-0.0030018183597619397,999.7915715574129,0.024292825371239023,-11.286325454095362,0.003920780463725423,1.3166495881212479,False,False,0.4193576849918288,15.852754447714794,False,0.014449818240415788,1.8307012970007999,-10.895460420111,-114.16545176594278,-8.60830315325556,-7.817300674258532,-5.704584728472384e-116,-8.364000166362615,-105.40256485876961,16596,76
1000.0,0.05,20.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,1.0,False,459,285.59407337278884,22.279541662900655,8,1.278476651738168e-25,True,697.7957203666964,1.0199026796385429,-0.005201007379669402,0.02197408974541972,0.02197408974541972,0.01677308236575032,-0.004252603252871209,999.7915715574129,0.021025685618621528,-12.518074644513566,0.004121803176750321,1.2618281748644626,False,False,0.3424517990277831,15.584345153553574,False,0.01053391749726311,2.0860320722208963,-12.083780162338881,-120.49424977322175,-9.799867632331253,-8.685889638065035,8.680687665337528e-122,-9.531006200320913,-111.33258674922487,18272,79
1000.0,0.05,22.0,False,False,862.4810430070509,2590.3798089510756,5.857845612114087,False,False,True,1.1,False,459,285.59407337278884,20.045401481011176,8,2.8035104373159816e-26,True,578.3212596703081,1.024117583534192,-0.005244084124519565,0.018279339367236774,0.018279339367236774,0.01303525524271721,-0.004814007404029799,999.7915715574129,0.017849262646747008,-13.691486999851882,0.004333132544668489,1.2102293365043533,False,False,0.285171697284115,15.600766064623015,False,0.007914288127169879,2.309663114801634,-13.21376306948687,-126.50844326428928,-10.933432719423603,-9.554478601871539,5.97989480011459e-128,-10.641224900341527,-116.96848798246984,19942,82
