t,delta,L,is_record_point_C1_1,is_record_point_C1_zeta,Lstar_C1_1,Lstar_C1_zeta,L_ann,inside_hypotheses,inside_hypotheses_zeta_C1,reflection_ok,deltaL,deltaL_ge_25,n_zeros_used,U_row,U_kopt,k_opt,tail_bound_at_U_row,tail_le_1e_10,U_contract_k3,c_deltaL,main_term,N_Z,W_Zprime,W_Z,W_Zrep,near_gamma,near_term,W_Zdouble_minus_Zprime_bound_log10,clause6_bound,sep_over_clause6,W_Z_negative,bal3,clause4_bound_C1_1,clause4_over_N,clause4_asserted,density_model,N_over_model,E_minus_bound_log10,E_minus_est_log10,E_minus_over_main_bound_log10,log10_exp_minus_L,E_minus_direct,refl_online_bound_log10,refl_online_est_log10,N_Z_center_mean,N_Z_center_median,N_Z_center_min,N_Z_center_max,center_mean_over_model
100000.0,0.05,4.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.2,False,905,294.09628542887503,147.04814271443752,10,6.788351899772344e-16,True,19775.787215604018,1.0007907889709289,-0.0050079110164452725,2.7705729434971125,2.7705729434971125,2.765565032480667,2.6810713000034623,99999.70094858819,0.0844937324772046,-93.49212074970583,0.0027629272951891198,1.8125381095496709,False,False,12.523867606035475,4.520316866383391,False,2.5127862381320623,1.1025899861488744,-93.40526185332516,-545.3000963010581,-91.10491845679228,-1.737177927613007,,-90.83412220216312,-542.6708747180669,2.5895206483202453,2.586059772600553,1.9329066799757255,3.211691506281841,1.0305375797685143
100000.0,0.05,6.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.30000000000000004,False,905,294.09628542887503,91.31429858133318,9,1.909520683076547e-18,True,8790.204730972353,1.001779896358129,-0.00501781480373652,0.8271493316810045,0.8271493316810045,0.8221315168772679,0.7434821230395069,99999.70094858819,0.07864939383776105,-118.27969547097156,0.002904585606820708,1.7275492903199032,False,False,5.5669431912041185,6.730275873995443,False,0.7445292557428332,1.1109695492835125,-118.14940712640058,-668.9830268230588,-115.849921754842,-2.6057668914195107,,-115.62046207477287,-666.3680768841758,0.7721825808221116,0.7654496212320342,0.4097305087357067,1.0771705629780512,1.037142026140649
100000.0,0.05,8.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.4,False,905,294.09628542887503,65.24097498908247,9,1.0766829631863117e-20,True,4945.158125071562,1.0031658068972553,-0.005031708180639108,0.24744848965034166,0.24744848965034166,0.24241678146970255,0.17137010951740955,99999.70094858819,0.071046671952293,-139.19949702551645,0.0030535068954004253,1.647845691201319,False,False,3.131843482027422,12.656547172516143,False,0.3140982797665078,0.787805937155365,-139.02577923275513,-773.2104742063304,-136.72749467854425,-3.474355855226014,,-136.53902401459996,-770.6104945634322,0.32264765648370713,0.3315052538911222,0.12270895551462237,0.5156295928406273,1.0272187950967282
100000.0,0.05,10.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.5,False,905,294.09628542887503,50.38498191349341,9,1.939850378957802e-22,True,3165.408446018974,1.004949682300694,-0.00504961931978133,0.13684276920877073,0.13684276920877073,0.1317931498889894,0.06959887608655578,99999.70094858819,0.06219427380243361,-157.64308518622815,0.0032100635417193542,1.5730589921832776,False,False,2.0046596574123576,14.649364880609797,False,0.16081831924045198,0.8509153052654808,-157.4259379452765,-865.0117865531773,-155.12919658407833,-4.3429448190325175,,-154.98137002903624,-862.427432861181,0.16334173797587306,0.16090273516419915,0.04159242563173558,0.3199760369447872,1.01569111496339
100000.0,0.05,12.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.6000000000000001,False,905,294.09628542887503,40.87739190603119,9,7.287294592114699e-24,True,2198.60794576426,1.0071330183655594,-0.005071584583410612,0.08183404676479744,0.08183404676479744,0.07676246218138683,0.024107255946732995,99999.70094858819,0.052655206234653834,-174.32562977681323,0.0033746470189400086,1.502848906847632,False,False,1.392318775712069,17.013930396400767,False,0.09306615696785416,0.8793104758055457,-174.06505308767126,-947.9897025212755,-171.77019676067562,-5.211533782839021,,-171.66267108746877,-945.4215898710987,0.09507922037864838,0.09545777741657327,0.022658626002983056,0.1866346365705613,1.0216304559721914
100000.0,0.05,14.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.7000000000000001,False,905,294.09628542887503,34.312086494745905,9,4.545530005428111e-25,True,1615.6439737333483,1.0097176466026059,-0.005097648629303526,0.05587069581375147,0.05587069581375147,0.050773047184447945,0.007778793834171568,99999.70094858819,0.042994253350276374,-189.67257552318907,0.0035476688714831442,1.4369009098564474,False,False,1.0230703922332285,18.311395219484986,False,0.058607259198415446,0.9533067503566527,-189.36856938585677,-1024.2834776236305,-187.07593928297402,-6.080122746645525,,-187.00837259562445,-1021.7321837478577,0.059644311119594444,0.06072165446795796,0.012444331869836957,0.10551991393872581,1.017694939762804
100000.0,0.05,16.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.8,False,905,294.09628542887503,29.48321725212668,8,4.529392729530828e-24,True,1237.2690182391725,1.0127057362312821,-0.005127864540978717,0.03936581182609249,0.03936581182609249,0.03423794728511377,0.0005094460814889434,99999.70094858819,0.033728501203624826,-203.96141328476412,0.003729561744103177,1.37492415806935,False,False,0.7833970523832807,19.90044193281513,False,0.03926228497081347,1.0026368015859488,-203.6139776992415,-1095.2865048217297,-201.32391424346628,-6.948711710452028,,-201.295965854935,-1092.7525732774616,0.038646568011733766,0.03984383435027912,0.0035697119895292165,0.07890756227486377,0.9843178521184538
100000.0,0.05,18.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,0.9,False,905,294.09628542887503,25.77471127389348,8,6.88113099504526e-25,True,977.8502892728663,1.0160997965434215,-0.005162293982677914,0.03425980663839643,0.03425980663839643,0.029097512655718517,0.003811170018993909,99999.70094858819,0.025286342636724607,-217.38504641069017,0.003920780463725423,1.3166495881212479,False,False,0.6190662019828134,18.069751779888897,False,0.027575157620104936,1.242415623162848,-216.99418137697722,-1161.9663942580353,-214.70702411012178,-7.817300674258532,,-214.71835452065483,-1159.450337380936,0.02635035677965495,0.027232396176884312,0.0026054271567244134,0.058660260155080114,0.9555831789858206
100000.0,0.05,20.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,1.0,False,905,294.09628542887503,22.883484447601727,8,1.2752639361443457e-25,True,792.2852352468918,1.0199026796385429,-0.005201007379669402,0.023475553526173153,0.023475553526173153,0.01827454614650375,0.0002955119766875781,99999.70094858819,0.017979034169816173,-230.08401969715047,0.004121803176750321,1.2618281748644626,False,False,0.5015130227915933,21.3632033098794,False,0.020102289905056497,1.1678049434690598,-229.64972521524717,-1225.0275132419688,-227.36581268523955,-8.685889638065035,,-227.416083610936,-1222.5298148251036,0.018854010890345337,0.018497029313113776,0.0012463793765854188,0.04238987726654141,0.9379036407987942
100000.0,0.05,22.0,False,False,903.3126173387944,2631.21138328282,10.411694642536942,False,False,True,1.1,False,905,294.09628542887503,20.572173627163394,8,2.775729322871816e-26,True,654.9848551102347,1.024117583534192,-0.005244084124519565,0.013027543021960825,0.013027543021960825,0.007783458897441259,-0.004203588034398911,99999.70094858819,0.01198704693184017,-242.16449163724198,0.004333132544668489,1.2102293365043533,False,False,0.4145308358967939,31.819571441676292,False,0.015103147937683319,0.8625713709296505,-241.68676770714833,-1285.0015119367215,-239.40643735708508,-9.554478601871539,,-239.49531178558308,-1282.5226296385995,0.01405655308474539,0.013973270578726856,0.0007493103463271219,0.03499655818323252,0.9307035290089024
